comp_items,isMain_item
ويفر بيلوتي 250غ×12,
ويفر بيفا 1كغ×4,
وانيلا بار 30غ,
هالي 30غ,
هاريكا 40غ,
نيكس الفاخر 40 غ,
نيكس اصابع,
نيكس XXL,
نوغا 50غ,
نوغا 25غ,
نوغا 22غ,
نوبي X3,
تات كيك عائلي 220غ×24,
ميلكي ماكس 25غ,
مدور بيفا,
مالح 30غ×36×4,
كيكس ميني 180غ×16,
كيكس ميني 144غ×16,
كيكس كيك 45غ,
فينغر 780غ×6,
فول توب 216غ×12,
كيك قلب امور 55غ,
كيك عائلي موزاييك 220غ×24,
كيك عائلي فواكه 220غ×24,
كيك تريتس 35غ,
كريملي كوكيز 56غ,
كريملي كوكيز 36غ,
فول توب 22غ,
كريملي بيفا 8*28,
كريملي بيفا 500غ×12,
كريملي بيفا 230غ,
رول كيكس 40غ,
كراكر ميكس 350 غ,
كراكر فيونيك 150غ×14,
كراكر بريتزل 350غ×12,
كراكر بريتزل 300غ×12,
كراكر بريتزل 150غ×12,
كراكر 200غ×14,
كراكر 150غ×30,
فيستو ويفر 60غ,
فول توب 50 غ غرانيو,فول توب
فول توب 50 غ,فول توب
فيروز مارشميلو 17غ×32×6,
كيك كيكس 22غ×24×12,
كريملي فور 160غ×24,
فرونا صندويش 500غ×12,
فرونا دونات 50غ,
غوفريت ميني ميغا 28غ,
غوفريت ميغا 50غ,
غوفريت غريدي 20,
غوفريت غريدي  25غ,
فيستو ويفر 50غ,
غوفريت بيفا 25غ,
غوفريت بيغ جون 70غ,
غوفريت اليت 40غ,
صوص كيكس,صوص بيفا
صوص عربي ,صوص بيفا
صوص بيفا,صوص بيفا
صوص احمر ,صوص بيفا
سوفت مارشمللو,
سمسم 80 غ,
سمسم 360غ×16,
سمسم  70غ ,
سماتش 20غ,
سلكشن بار 40 غ,
سلكشن بار 25غ,
ستلمبك 40غ,
ستلمبك 30غ,
ريتشي كورنيه 25غ,
ريتنغ,
ريتشي كيك 50غ,
ريتشي كيك 60غ,
رول كيكس 55غ,رول كيكس 50غ
رول كيكس 50غ,رول كيكس 50غ
روسي,
رواند كيك 35غ,
رواند كيك 25غ,
رواند قشطة 35غ,
رواند ستاند,
رواند جوزالهند,
رواند 50غ,
رواند 45 غ,راوند
رواند 40غ,راوند
رواند 22غ×24×12,
راوند,راوند
دونات بيفا مغطس,
دونات بيفا 240غ×14,
دونات بيفا 20غ,
دهن بيفا 1 كغ,
دهن 850غ,
دهن 300غ,دهن 300غ
تاليا مالح 30غ,
جدلة رواند 1كغ×8,
جامبو بيفا 48غ,جامبو بيفا 48غ
جامبو بلاك,جامبو بيفا 48غ
جامبو احمر,جامبو بيفا 48غ
ترند اصفر 25غ,
تاليا نوغا جوزالهند 22غ,
تاليا كراميل x2,
تاليا كراميل 40غ,
كيك بينا فواكه 22غ,
تاليا رول كيك 50غ,
تاليا دونات 20غ,
تاليا فينغر كيك 25غ,
تاليا بار 44 غ,
تاليا بار 30غ X2,
تاليا باركيك 25غ,
تات كيك عائلي 180غ,
بيفا هدية ,
بيسكوفيري موزاييك  60غ,بيسكوفيري
بيسكوفيري باستا  60غ,بيسكوفيري
بيتر كوكيز 20غ,
بسكويت مارشمللو عائلي 300غ,
باندو بار 30غ,
بسكويت شاي 100غ×24×4,
الو كيك 100غ,
افسان صغير 20.5غ,
افسان 25غ,
ادمير البحر بلاك 55غ,ادمير البحر
ادمير البحر,ادمير البحر
كراكر 300غ×14,
ميلودي سوفت موز 12×40,
كوكيز موزاييك 80غ,
بسكويت كوكيز 240غ×18,
كولدنت بيتر 80غ×12,
كولدنت غوفريت 125غ×12,
تارغيت ويفر 60غ,
سوفليه كيك 50غ,
سمسم 450غ×6,
كيكس مارشميلو 175غ×16,
موي مارشميلو 18غ×32×6,
كراكر 200غ×12,
كراكر حار 50غ×24,
ويفر بيلوتي 200غ×12,
مالح 32غ×72,
افسان 50غ,
بسكويت كوكيز 60غ,
جدلة توكيتو 500غ×16,
رواند كيك 22غ×24×12,
كولدنت فستق 80غ×12,
كريملي بيفا 8×24,
ميني كاسي 180غ×16,
روسي فستق 57غ×48,
شوكولا مارتينا 1كغ×8,
غوفريت غريدي 30غ,
موي مارشميلو 90غ×24×4,
بسكويت شاي 800غ×5,
شوكولا بلوز 1900غ×6,
كيك تريتس 45غ,
ادمير البحر مسطرة 55غ,
روسي70غ XXL,
كيكس عائلي 200غ×12,
كيكس مارشميلو 35غ,
مالح بيفا 30غ×24×6,
بيفا سوفت 160غ×12,
فول توب 30غ,
رواند 30غ,
ريشي دبدوب 55غ,
كيك تريتس 50غ,
كيك قلب ليزا 55غ,
كيك بينا فواكه 40غ,
شوكوبوم مارشميلو 13غ×48×6,
كيكس اوفال 45غ,
باوند كيك 50غ,
اصابع دهن 20غ,
بسكويت كوكيز 57غ,
الو كيك 55غ,
فيستو ويفر 55غ,
ويفر ثنيستر 55غ,
بينا صوص 45غ,
كريملي اكسترا 60غ,
ويفر سنترو 350غ×24,
كراكر بريتزل 400غ×15,
تات كيك 100غ×12×6,
بيتركوكيز 100غ×22,
كريملي بيفا 150غ×24×4,
كريملي بيفا 240غ×12,
دادي 216غ×12,
نوغا X3 سونغ 60غ,
شاي بيفا 80غ×24×4,
دهن 300غ ديو,دهن 300غ
ويفر ثنيستر 142غ×20,
كيكس موزاييك 35غ,
ويفر بيلوتي 30غ,
فول توب,فول توب
كب كيك فستق 45غ,
كيكس لايار فستق 45غ,
سوفت مارشمللو 50غ,
فيروز مارشميلو 216غ×12,
كيكس ميني علبة 18غ×24×12,
جدلة رواند 800غ×8,
كريملي بيفا 230غ×18,
تات كيك 22غ,
بانابي كيك 55غ,
بسكويت ماريا 130غ×24,
